OverTime,JobLevel,Department,JobInvolvement,MonthlyIncome,EducationField,JobRole,Age,JobSatisfaction,StockOptionLevel,WorkLifeBalance,RelationshipSatisfaction,NumCompaniesWorked,EnvironmentSatisfaction,BusinessTravel,ResearchTravelRare,YearsAtCompany,YearsNoChange,MaritalStatus,PercentSalaryHike,DistanceFromHome,DailyRate,Education,YearsSinceLastPromotion,TrainingTimesLastYear,PerformanceRating,Attrition
0,0.25,0,0.6666666666666667,0.2624539231174302,0,0,0.5476190476190477,1.0,0.0,0.0,0.0,0.8888888888888888,0.3333333333333333,0,0.0,0.16216216216216217,0.0,0,0.0,0.0,0.7154121863799283,0.25,0.0,0.0,0.0,0
1,0.25,1,0.3333333333333333,0.21700895208004214,0,1,0.7380952380952379,0.3333333333333333,0.3333333333333333,0.6666666666666667,1.0,0.1111111111111111,0.6666666666666667,1,0.0,0.2702702702702703,0.08333333333333333,1,0.8571428571428571,0.25,0.12544802867383514,0.0,0.06666666666666667,0.5,1.0,1
0,0.0,1,0.6666666666666667,0.10005265929436546,0,1,0.35714285714285715,0.6666666666666667,0.0,0.6666666666666667,0.6666666666666667,0.1111111111111111,1.0,1,0.0,0.21621621621621623,0.0,1,0.0,0.07142857142857142,0.9232974910394265,0.75,0.2,0.5,0.0,1
1,0.0,1,0.6666666666666667,0.1294892048446551,1,2,0.21428571428571425,0.3333333333333333,0.3333333333333333,0.6666666666666667,1.0,1.0,0.0,0,1.0,0.05405405405405406,0.16666666666666666,1,0.0714285714285714,0.03571428571428571,0.34910394265232975,0.0,0.13333333333333333,0.5,0.0,1
1,0.0,1,0.6666666666666667,0.10842548709847288,0,2,0.3333333333333333,1.0,0.0,0.3333333333333333,0.6666666666666667,0.0,1.0,1,0.0,0.1891891891891892,0.25,0,0.1428571428571428,0.03571428571428571,0.6458781362007169,0.25,0.2,0.3333333333333333,0.0,1
1,0.0,1,0.6666666666666667,0.08867825171142707,0,2,0.28571428571428564,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.1111111111111111,1.0,0,1.0,0.02702702702702703,0.0,2,0.7857142857142857,0.8214285714285714,0.8989247311827957,0.0,0.0,0.3333333333333333,1.0,1
1,0.5,1,0.3333333333333333,0.44849921011058447,0,3,0.4761904761904761,0.6666666666666667,0.0,0.6666666666666667,0.3333333333333333,0.0,1.0,1,0.0,0.24324324324324326,0.08333333333333333,0,0.7142857142857143,0.7857142857142857,0.0802867383512545,0.5,0.06666666666666667,0.3333333333333333,1.0,1
1,0.25,1,0.6666666666666667,0.22264349657714586,1,4,0.42857142857142855,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666667,0,1.0,0.1891891891891892,0.5833333333333333,1,0.1428571428571428,0.9285714285714285,0.8566308243727598,0.5,0.4666666666666667,0.5,0.0,1
1,0.0,1,1.0,0.07461822011585045,1,2,0.4047619047619047,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.0,0.0,0,1.0,0.13513513513513514,0.0,1,0.1428571428571428,0.5357142857142857,0.5053763440860215,0.5,0.0,0.8333333333333333,0.0,1
0,0.25,1,0.3333333333333333,0.16766719325961033,0,2,0.2619047619047619,0.6666666666666667,0.0,0.6666666666666667,1.0,0.0,1.0,0,1.0,0.24324324324324326,0.0,0,0.0714285714285714,0.5,0.035125448028673845,0.25,0.0,0.5,0.0,1
